concept,definition
APs,anxious state characterized by a feeling of apprehension or dread of impending danger
Akkermansia muciniphila,akkermansia muciniphila is a biomedical concept in the gut-brain domain
Antipsychotics,drugs that is used to manage symptoms of psychosis and related psychiatric conditions by modulating dopamine and serotonin pathways in the central nervous system
Bipolar disorder,"mood disorder characterized by recurrent episodes of mania or hypomania and depression, with fluctuations in energy, activity, and emotional state"
Depression,"mood disorder characterized by sustained feelings of sadness, emptiness, or irritability and accompanied by impaired daily functioning, often linked to neurobiological dysregulation and significant disability"
GM composition and diversity,"gut microbiota characteristic that comprises the taxonomic makeup and relative abundance of microbial populations, along with their species richness, evenness, and structural variation within and between individuals."
MGB,brain region containing the prefrontal cortex (PFC) that is the center for the processing of emotional and cognitive information
MGB axis,"physiological axis characterized by bidirectional communication integrating skeletal muscle, gastrointestinal, and central nervous system functions through neural, metabolic, and immune pathways"
Microbiota-derived extracellular vesicles,microbiota-deriveds extracellular vesicles is a biomedical concept in the gut-brain domain
Multiple strain probiotics,"probiotics that comprise two or more distinct live microorganism strains, often selected for complementary or synergistic activity to enhance health-promoting effects"
Probiotic administration,probiotic administration is a biomedical concept in the gut-brain domain
Psychiatry,"medical specialty that deals with the assessment and management of disorders affecting mental health, including disturbances in thought, emotion, and behavior, through biological, psychological, and social interventions"
Psychobiotics,probiotics that confer health benefits on the host by positively influencing mental well-being through the gut-microbiota-brain axis
Second-generation antipsychotics,second-generations antipsychotics is a biomedical concept in the gut-brain domain
Treatment,biomedical intervention that modifies disease processes or alleviates symptoms to improve health outcomes in affected individuals
abundance,"quantity that represents the number or concentration of biological entities, such as microorganisms, within a specific environment, often used to assess prevalence in microbial communities"
amilsupride,"antipsychotic agent characterized by selective dopamine D2 and D3 receptor antagonism, structural relation to benzamide derivatives, and preferential limbic system activity with antidepressant and anxiolytic effects"
antidepressant and anti-anxiety drugs,"drugs that acts on the central nervous system to alleviate symptoms of mood and emotional disorders, supported by evidence of therapeutic efficacy in depression and anxiety."
antipsychotic-induced metabolic impairment,antipsychotic-induced metabolic impairment is a biomedical concept in the gut-brain domain
antipsychotics,"pharmaceuticals agent that alleviates psychosis and stabilizes mood by modulating dopaminergic and other neurotransmitter pathways, used in the management of schizophrenia and related psychiatric disorders"
anxiety,anxiety is a biomedical concept in the gut-brain domain
anxiety disorders,diseases that is manifested by a combination of signs and symptoms
atypical drugs,"drugs that differs from conventional agents in its pharmacological profile, often exhibiting a broader mechanism of action and an improved side effect profile compared to typical counterparts"
axis,"bidirectional communications system characterized by integrated neural, hormonal, and immune signaling between anatomically distinct organs, mediating coordinated physiological responses and homeostatic regulation"
bacterium,"microorganism that is prokaryotic, unicellular, and characterized by the absence of a membrane-bound nucleus, presence of peptidoglycan in the cell wall, and reproduction through binary fission"
bibliometric analysis,bibliometrics analysis is a biomedical concept in the gut-brain domain
bioactive compounds,"chemical compounds that produces a biological response in living systems, often influencing physiological functions or health outcomes through interactions with cellular components or microbial communities"
bipolar disorder,"mood disorder characterized by recurrent episodes of mania or hypomania and depression, with alternating periods of elevated and depressed mood and associated impairment in functioning"
depressive behaviour,"behaviour characterized by diminished engagement in rewarding activities, social isolation, psychomotor slowing, and impaired daily functioning, typically associated with mood disorders and underlying neurobiological dysregulation"
diagnostic biomarkers,"biomarkers that indicates the presence or identity of a disease state, enabling clinical diagnosis through objective measurement, particularly at early or preclinical stages"
disease,disposition to undergo pathological processes that exists in an organism because of one or more disorders in that organism
drugs,"substances that is used to diagnose, treat, or prevent disease or to alter physiological function for therapeutic benefit"
gut,"gastrointestinal tract that harbors a complex microbial community and mediates nutrient processing, immune modulation, and bidirectional communication with the central nervous system."
gut microbiome,"microbiome that consists of the microorganisms and their genomic elements inhabiting the gastrointestinal tract, participating in symbiotic and dynamic interactions with the host organism"
gut microbiome composition,deficiency of one or more elements in the diet or body
gut microbiota,"microbiota that resides in the gastrointestinal tract, consisting of a dynamic community of microorganisms engaged in bidirectional interactions with the host and contributing to physiological homeostasis and health"
gut-brain axis,gut-brains axis is a biomedical concept in the gut-brain domain
health,"state of an organism characterized by the integrity of physiological, psychological, and social functioning, along with the capacity to maintain homeostasis and perform age-typical roles within the environment"
host,"organism that harbors other biological entities within its body, providing them with nutrients and habitat while engaging in physiological or immunological interactions"
illness,"disease characterized by a subjective state of discomfort, dysfunction, or distress experienced by an individual, often in association with physical or psychological symptoms, and impacting normal well-being and daily functioning"
mental health,"health characterized by stable emotional functioning, effective cognitive processing, and adaptive behavioral responses that enable an individual to manage stress, fulfill social roles, and maintain psychological well-being."
mental illnesses,"diseases characterized by psychological or behavioral disturbance typically associated with distress or impaired functioning, not attributable to normal development or cultural norms"
metabolic parameters,"parameters that reflects a metabolic process or state, characterized by quantifiable biochemical markers such as glucose, lipids, or enzymes measured in biological fluids to evaluate energy utilization and homeostasis"
mice models,"animals model that uses Mus musculus for studying human disease mechanisms and therapeutic interventions under controlled genetic, microbial, or dietary conditions"
microbiota,"microbial community that inhabits a host organism, consisting of bacteria, fungi, viruses, and archaea, and interacting dynamically with host physiological processes to influence health and disease"
microbiota-derived extracellular vesicles,microbiota-deriveds extracellular vesicles is a biomedical concept in the gut-brain domain
microbiota-gut-brain,"bidirectional signaling system that integrates communication among commensal microorganisms in the digestive tract, the gastrointestinal system, and the central nervous system through neural, endocrine, immune, and metabolic pathways"
microorganisms,"organisms that is microscopic in size and typically belongs to the domains Bacteria, Archaea, or certain eukaryotic groups such as protists and fungi, often inhabiting diverse environments including host-associated ecosystems"
olanzapine,"antipsychotic drug characterized by antagonism of dopamine and serotonin receptors, used in the treatment of schizophrenia and bipolar disorder, and frequently associated with weight gain and metabolic disturbances"
olanzapine-induced weight gain,"weight gain characterized by increased adiposity following administration of a second-generation antipsychotic agent, particularly associated with metabolic dysregulation and gut microbiome alterations"
patients,"individuals receiving medical care or evaluation due to the presence of disease, symptoms, or health concerns, and undergoing clinical assessment or intervention"
postbiotics,"substances produced by microorganisms through metabolic activity, characterized by structural components or secreted molecules that exert beneficial effects on host physiology"
probiotic supplementation,probiotic supplementation is a biomedical concept in the gut-brain domain
probiotics,"live microorganisms that, when administered in sufficient quantities, confers a health benefit on the host"
psychiatric disorders,"mental healthes disorder characterized by persistent psychological or behavioral patterns that cause significant distress or impairment in social, occupational, or personal functioning and that are not part of normal development or cultural expression"
psychiatric patients,"patients characterized by psychological or behavioral disturbances that result in subjective distress, functional impairment, or disconnection from reality, typically associated with conditions such as depression, schizophrenia, or bipolar disorder"
psychobiotics,psychobiotics is a biomedical concept in the gut-brain domain
quetiapine,"atypical antipsychotic characterized by dopamine and serotonin receptor antagonism, used in the treatment of mood and psychotic disorders, and capable of modulating gut microbiota composition and differentiating clinical response in depressive patients"
risperidone,"antipsychotic drug that acts as a dopamine and serotonin receptor antagonist, used in the treatment of schizophrenia, bipolar disorder, and autistic irritability, and characterized by a propensity for extrapyramidal and metabolic adverse effects"
schizophrenia,"psychotic disorder characterized by a disintegration of thought processes, altered emotional responsiveness, and symptoms including hallucinations, delusions, and cognitive impairment, with neurodevelopmental origins"
side effects,"adverse events that arises incidentally during therapeutic intervention, distinct from the intended pharmacological or clinical outcome, and potentially affecting patient well-being or treatment efficacy."
therapies,"medical interventions characterized by the application of agents or procedures intended to mitigate disease manifestations, modulate pathophysiological processes, or improve health outcomes in affected individuals."
treatment,"medical intervention that is administered to alleviate symptoms, modify disease course, or restore physiological function in individuals with a diagnosed condition"
weight gain,"change in body mass characterized by a progressive increase in mass, typically resulting from excess energy storage in the form of adipose tissue or other bodily components"
well-being,"state of health characterized by positive psychological functioning, resilience, and life satisfaction, supported by psychosocial and physical factors that contribute to overall functional capacity and quality of life."
